"Date","SimpleDate","TemperatureOut","Feels Like (°C)","Dew Point (°C)","WindSpeed(km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Total Rain (mm)","RelativePressure(hPa)","Humidity(%)","Indoor Temperature (°C)","Indoor Humidity (%)","AvgWindDir10min","Outdoor Battery","AbsolutePressure(hPa)","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2025-01-31T06:50:00-06:00,2025-01-31 06:50:00,25.2,25.7,20.2,1.1,3.6,9.4,298,0,0,0,0,11.7,1297.3,1297.3,1004.3,74,26.9,68,344,1,1004.3,28.6,20.5
2025-01-31T06:45:00-06:00,2025-01-31 06:45:00,24.9,25.4,19.9,5,9.4,9.4,11,0,0,0,0,11.7,1297.3,1297.3,1004.1,74,27,68,259,1,1004.1,28.7,20.6
2025-01-31T06:40:00-06:00,2025-01-31 06:40:00,24.9,25.4,20.4,0.4,5.4,7.2,65,0,0,0,0,11.7,1297.3,1297.3,1004.1,76,27,68,259,1,1004.1,28.7,20.6
2025-01-31T06:35:00-06:00,2025-01-31 06:35:00,24.8,25.3,20.1,2.5,3.6,7.2,325,0,0,0,0,11.7,1297.3,1297.3,1003.8,75,27,68,342,1,1003.8,28.7,20.6
2025-01-31T06:30:00-06:00,2025-01-31 06:30:00,24.9,25.4,20.2,0,1.8,7.2,251,0,0,0,0,11.7,1297.3,1297.3,1003.8,75,27,68,342,1,1003.8,28.7,20.6
2025-01-31T06:25:00-06:00,2025-01-31 06:25:00,25,25.5,20,0.4,1.8,7.2,51,0,0,0,0,11.7,1297.3,1297.3,1003.6,74,27,68,81,1,1003.6,28.7,20.6
2025-01-31T06:21:00-06:00,2025-01-31 06:21:00,24.6,25.1,19.9,0,3.6,7.2,344,0,0,0,0,11.7,1297.3,1297.3,1003.7,75,27,67,81,1,1003.7,28.6,20.3
2025-01-31T06:16:00-06:00,2025-01-31 06:16:00,24.4,24.9,20.3,0.7,1.8,7.2,75,0,0,0,0,11.7,1297.3,1297.3,1003.6,78,26.9,68,283,1,1003.6,28.6,20.5
2025-01-31T06:10:00-06:00,2025-01-31 06:10:00,24.1,24.7,20.4,0,1.8,7.2,5,0,0,0,0,11.7,1297.3,1297.3,1003.6,80,26.9,68,283,1,1003.6,28.6,20.5
2025-01-31T06:05:00-06:00,2025-01-31 06:05:00,23.3,23.8,20,2.2,3.6,7.2,347,0,0,0,0,11.7,1297.3,1297.3,1003.4,82,27,68,284,1,1003.4,28.7,20.6
2025-01-31T06:00:00-06:00,2025-01-31 06:00:00,22.7,23.3,20.4,0,0,7.2,284,0,0,0,0,11.7,1297.3,1297.3,1003.3,87,27,67,284,1,1003.3,28.6,20.3
2025-01-31T05:55:00-06:00,2025-01-31 05:55:00,22.6,23.2,20.7,1.1,1.8,7.2,284,0,0,0,0,11.7,1297.3,1297.3,1003.4,89,27,67,284,1,1003.4,28.6,20.3
2025-01-31T05:50:00-06:00,2025-01-31 05:50:00,22.6,23.3,20.9,0,0,7.2,283,0,0,0,0,11.7,1297.3,1297.3,1003.1,90,27,67,284,1,1003.1,28.6,20.3
2025-01-31T05:45:00-06:00,2025-01-31 05:45:00,22.6,23.2,20.5,0,1.8,7.2,284,0,0,0,0,11.7,1297.3,1297.3,1003.1,88,27.1,67,283,1,1003.1,28.8,20.4
2025-01-31T05:40:00-06:00,2025-01-31 05:40:00,22.6,23.2,20.7,0.4,1.8,7.2,283,0,0,0,0,11.7,1297.3,1297.3,1003.1,89,27,67,283,1,1003.1,28.6,20.3
2025-01-31T05:35:00-06:00,2025-01-31 05:35:00,22.7,23.3,20.8,0,0,7.2,283,0,0,0,0,11.7,1297.3,1297.3,1002.9,89,27,67,282,1,1002.9,28.6,20.3
2025-01-31T05:30:00-06:00,2025-01-31 05:30:00,22.7,23.3,20.8,0,0,7.2,283,0,0,0,0,11.7,1297.3,1297.3,1002.8,89,27,67,282,1,1002.8,28.6,20.3
2025-01-31T05:25:00-06:00,2025-01-31 05:25:00,23,23.7,21.1,1.8,1.8,7.2,282,0,0,0,0,11.7,1297.3,1297.3,1002.9,89,27,67,282,1,1002.9,28.6,20.3
2025-01-31T05:20:00-06:00,2025-01-31 05:20:00,22.9,23.5,20.6,0,0,7.2,283,0,0,0,0,11.7,1297.3,1297.3,1002.9,87,27,67,282,1,1002.9,28.6,20.3
2025-01-31T05:15:00-06:00,2025-01-31 05:15:00,23,23.7,20.9,0,0,7.2,282,0,0,0,0,11.7,1297.3,1297.3,1003,88,27.1,67,282,1,1003,28.8,20.4
2025-01-31T05:10:00-06:00,2025-01-31 05:10:00,23.2,23.8,20.9,0,0,7.2,282,0,0,0,0,11.7,1297.3,1297.3,1002.9,87,27,67,282,1,1002.9,28.6,20.3
2025-01-31T05:05:00-06:00,2025-01-31 05:05:00,23.3,23.9,20.8,0,0,7.2,282,0,0,0,0,11.7,1297.3,1297.3,1002.7,86,27,67,283,1,1002.7,28.6,20.3
2025-01-31T05:00:00-06:00,2025-01-31 05:00:00,23.4,24,20.7,0,0,7.2,282,0,0,0,0,11.7,1297.3,1297.3,1002.7,85,27,67,283,1,1002.7,28.6,20.3
2025-01-31T04:55:00-06:00,2025-01-31 04:55:00,23.4,24,20.5,0,0,7.2,283,0,0,0,0,11.7,1297.3,1297.3,1002.7,84,27,67,282,1,1002.7,28.6,20.3
2025-01-31T04:50:00-06:00,2025-01-31 04:50:00,23.3,23.9,20.6,0,0,7.2,283,0,0,0,0,11.7,1297.3,1297.3,1002.8,85,27,67,282,1,1002.8,28.6,20.3
2025-01-31T04:45:00-06:00,2025-01-31 04:45:00,23.1,23.7,20.4,0,0,7.2,283,0,0,0,0,11.7,1297.3,1297.3,1002.7,85,27,66,283,1,1002.7,28.6,20.1
2025-01-31T04:40:00-06:00,2025-01-31 04:40:00,23.2,23.8,20.5,0,0,7.2,282,0,0,0,0,11.7,1297.3,1297.3,1002.4,85,27,66,283,1,1002.4,28.6,20.1
2025-01-31T04:35:00-06:00,2025-01-31 04:35:00,23.1,23.7,20.4,0,0,7.2,283,0,0,0,0,11.7,1297.3,1297.3,1002.3,85,27,66,282,1,1002.3,28.6,20.1
2025-01-31T04:30:00-06:00,2025-01-31 04:30:00,22.8,23.4,20.3,0,0,7.2,282,0,0,0,0,11.7,1297.3,1297.3,1002.3,86,27.1,66,282,1,1002.3,28.7,20.2
2025-01-31T04:25:00-06:00,2025-01-31 04:25:00,22.8,23.4,20.5,0,0,7.2,282,0,0,0,0,11.7,1297.3,1297.3,1002.3,87,27,66,290,1,1002.3,28.6,20.1
2025-01-31T04:20:00-06:00,2025-01-31 04:20:00,22.7,23.3,20.4,0,0,7.2,282,0,0,0,0,11.7,1297.3,1297.3,1002.2,87,27,66,290,1,1002.2,28.6,20.1
2025-01-31T04:15:00-06:00,2025-01-31 04:15:00,22.6,23.2,20.3,0,0,7.2,282,0,0,0,0,11.7,1297.3,1297.3,1002.3,87,27,66,294,1,1002.3,28.6,20.1
2025-01-31T04:10:00-06:00,2025-01-31 04:10:00,22.8,23.4,20.7,0.4,1.8,7.2,292,0,0,0,0,11.7,1297.3,1297.3,1002.3,88,27.1,66,294,1,1002.3,28.7,20.2
2025-01-31T04:05:00-06:00,2025-01-31 04:05:00,22.9,23.5,20.4,0,0,7.2,293,0,0,0,0,11.7,1297.3,1297.3,1002.3,86,27.1,66,8,1,1002.3,28.7,20.2
2025-01-31T04:00:00-06:00,2025-01-31 04:00:00,22.8,23.4,20.3,0,0,7.2,293,0,0,0,0,11.7,1297.3,1297.3,1002.2,86,27.1,66,8,1,1002.2,28.7,20.2
2025-01-31T03:55:00-06:00,2025-01-31 03:55:00,22.9,23.5,20.4,0,1.8,7.2,329,0,0,0,0,11.7,1297.3,1297.3,1002.3,86,27.1,66,9,1,1002.3,28.7,20.2
2025-01-31T03:50:00-06:00,2025-01-31 03:50:00,22.7,23.3,20.2,0,0,7.2,9,0,0,0,0,11.7,1297.3,1297.3,1002.1,86,27.1,66,9,1,1002.1,28.7,20.2
2025-01-31T03:45:00-06:00,2025-01-31 03:45:00,22.5,23.1,20.2,0,0,7.2,9,0,0,0,0,11.7,1297.3,1297.3,1002.1,87,27.1,65,284,1,1002.1,28.6,19.9
2025-01-31T03:40:00-06:00,2025-01-31 03:40:00,22.5,23.1,20.2,0,1.8,7.2,9,0,0,0,0,11.7,1297.3,1297.3,1002.2,87,27.1,65,284,1,1002.2,28.6,19.9
2025-01-31T03:35:00-06:00,2025-01-31 03:35:00,22.5,23.1,20.4,0,0,7.2,224,0,0,0,0,11.7,1297.3,1297.3,1002.1,88,27,65,81,1,1002.1,28.4,19.8
2025-01-31T03:30:00-06:00,2025-01-31 03:30:00,22.7,23.3,20.4,1.1,1.8,7.2,280,0,0,0,0,11.7,1297.3,1297.3,1002.1,87,27.1,65,81,1,1002.1,28.6,19.9
2025-01-31T03:25:00-06:00,2025-01-31 03:25:00,23.1,23.7,20.2,0,1.8,7.2,81,0,0,0,0,11.7,1297.3,1297.3,1002.3,84,27.1,65,274,1,1002.3,28.6,19.9
2025-01-31T03:20:00-06:00,2025-01-31 03:20:00,22.9,23.4,20,1.4,1.8,7.2,88,0,0,0,0,11.7,1297.3,1297.3,1002,84,27.1,65,274,1,1002,28.6,19.9
2025-01-31T03:15:00-06:00,2025-01-31 03:15:00,22.8,23.3,19.9,0,0,7.2,274,0,0,0,0,11.7,1297.3,1297.3,1002.1,84,27.2,65,275,1,1002.1,28.8,20.1
2025-01-31T03:10:00-06:00,2025-01-31 03:10:00,22.8,23.3,19.9,0,0,7.2,275,0,0,0,0,11.7,1297.3,1297.3,1002.1,84,27.1,65,275,1,1002.1,28.6,19.9
2025-01-31T03:05:00-06:00,2025-01-31 03:05:00,23,23.5,20.1,0,0,7.2,275,0,0,0,0,11.7,1297.3,1297.3,1002.1,84,27.2,65,129,1,1002.1,28.8,20.1
2025-01-31T03:00:00-06:00,2025-01-31 03:00:00,22.8,23.3,19.8,0,0,7.2,275,0,0,0,0,11.7,1297.3,1297.3,1002.1,83,27.1,65,129,1,1002.1,28.6,19.9
2025-01-31T02:55:00-06:00,2025-01-31 02:55:00,23.1,23.6,20,1.8,1.8,7.2,276,0,0,0,0,11.7,1297.3,1297.3,1002.3,83,27.2,65,353,1,1002.3,28.8,20.1
2025-01-31T02:50:00-06:00,2025-01-31 02:50:00,23.1,23.6,20,0,0,7.2,129,0,0,0,0,11.7,1297.3,1297.3,1002.3,83,27.1,65,353,1,1002.3,28.6,19.9
2025-01-31T02:45:00-06:00,2025-01-31 02:45:00,22.8,23.3,19.8,0,0,7.2,129,0,0,0,0,11.7,1297.3,1297.3,1002.1,83,27.2,65,114,1,1002.1,28.8,20.1
2025-01-31T02:40:00-06:00,2025-01-31 02:40:00,22.7,23.2,19.7,0,0,7.2,353,0,0,0,0,11.7,1297.3,1297.3,1002.4,83,27.2,65,114,1,1002.4,28.8,20.1
2025-01-31T02:35:00-06:00,2025-01-31 02:35:00,22.8,23.3,19.8,0,0,7.2,114,0,0,0,0,11.7,1297.3,1297.3,1002.4,83,27.2,65,181,1,1002.4,28.8,20.1
2025-01-31T02:30:00-06:00,2025-01-31 02:30:00,22.8,23.3,19.8,0,0,7.2,346,0,0,0,0,11.7,1297.3,1297.3,1002.4,83,27.2,64,181,1,1002.4,28.7,19.8
2025-01-31T02:25:00-06:00,2025-01-31 02:25:00,22,22.4,19.2,0,3.6,7.2,181,0,0,0,0,11.7,1297.3,1297.3,1002.3,84,27.2,64,147,1,1002.3,28.7,19.8
2025-01-31T02:20:00-06:00,2025-01-31 02:20:00,22.1,22.7,20.2,5.4,7.2,7.2,295,0,0,0,0,11.7,1297.3,1297.3,1002.5,89,27.2,64,147,1,1002.5,28.7,19.8
2025-01-31T02:15:00-06:00,2025-01-31 02:15:00,22,22.6,20.1,0,1.8,5.4,301,0,0,0,0,11.7,1297.3,1297.3,1002.2,89,27.3,64,148,1,1002.2,28.8,19.9
2025-01-31T02:10:00-06:00,2025-01-31 02:10:00,22.6,23.2,20.1,0,0,5.4,149,0,0,0,0,11.7,1297.3,1297.3,1002.3,86,27.3,64,148,1,1002.3,28.8,19.9
2025-01-31T02:06:00-06:00,2025-01-31 02:06:00,22.7,23.2,20,0,0,5.4,148,0,0,0,0,11.7,1297.3,1297.3,1002.2,85,27.3,64,157,1,1002.2,28.8,19.9
2025-01-31T02:00:00-06:00,2025-01-31 02:00:00,22.5,23.1,20,0,0,5.4,149,0,0,0,0,11.7,1297.3,1297.3,1002.2,86,27.3,64,157,1,1002.2,28.8,19.9
